OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,,
SO - 0001917,12/31/2014,107,Distributor,USD,NXH382,53,13,6,"2,653.20","15,919.20","1,061.28",,
SO - 0001918,12/31/2014,15,Distributor,USD,GUT930,42,13,9,"3,564.40","32,079.60","1,817.84",,
SO - 0001919,12/31/2014,129,Distributor,USD,NXH382,49,28,5,"1,078.70","5,393.50",517.78,,
SO - 0001920,12/31/2014,130,Wholesale,USD,FLR025,65,15,9,"6,224.30","56,018.70","3,112.15",,
SO - 0001921,12/31/2014,48,Distributor,USD,AXW291,18,17,11,"1,326.60","14,592.60",822.49,,
SO - 0001922,12/31/2014,128,Wholesale,USD,AXW291,21,25,6,221.10,"1,326.60",159.19,,
SO - 0001923,12/31/2014,22,Distributor,USD,GUT930,40,25,12,"6,344.90","76,138.80","3,806.94",,
SO - 0001924,1/1/2015,141,Wholesale,USD,FLR025,63,7,6,"1,132.30","6,793.80",815.26,,
SO - 0001925,1/1/2015,111,Wholesale,USD,FLR025,63,2,11,757.10,"8,328.10",446.69,,
SO - 0001926,1/1/2015,42,Distributor,USD,NXH382,48,14,9,"1,038.50","9,346.50",882.73,,
SO - 0001927,1/1/2015,14,Distributor,USD,AXW291,23,2,5,958.10,"4,790.50",603.60,,
SO - 0001928,1/1/2015,139,Wholesale,USD,AXW291,8,3,9,"1,855.90","16,703.10","1,521.84",,
SO - 0001929,1/1/2015,68,Wholesale,USD,GUT930,34,14,11,"2,646.50","29,111.50","1,879.02",,
SO - 0001930,1/1/2015,18,Distributor,USD,AXW291,6,25,10,"5,453.80","54,538.00","3,654.05",,
SO - 0001931,1/1/2015,71,Wholesale,USD,AXW291,19,17,7,"1,782.20","12,475.40","1,301.01",,
SO - 0001932,1/1/2015,60,Distributor,USD,AXW291,23,2,12,"1,051.90","12,622.80",631.14,,
SO - 0001933,1/1/2015,75,Distributor,USD,FLR025,61,13,6,254.60,"1,527.60",216.41,,
SO - 0001934,1/1/2015,30,Wholesale,USD,NXH382,57,16,12,"2,860.90","34,330.80","1,745.15",,
SO - 0001935,1/1/2015,149,Distributor,USD,AXW291,15,18,9,"2,887.70","25,989.30","1,212.83",,
SO - 0001936,1/1/2015,45,Wholesale,USD,AXW291,6,4,8,"1,085.40","8,683.20",857.47,,
SO - 0001937,1/2/2015,25,Wholesale,USD,AXW291,25,25,7,"1,031.80","7,222.60",773.85,,
SO - 0001938,1/2/2015,151,Wholesale,USD,NXH382,51,21,6,"1,172.50","7,035.00",644.88,,
SO - 0001939,1/2/2015,89,Wholesale,USD,FLR025,64,18,10,"2,010.00","20,100.00",924.60,,
SO - 0001940,1/2/2015,62,Wholesale,USD,GUT930,43,3,8,"5,279.60","42,236.80","4,118.09",,
SO - 0001941,1/2/2015,160,Distributor,USD,GUT930,32,5,12,"1,038.50","12,462.00",581.56,,
SO - 0001942,1/2/2015,104,Export,USD,AXW291,18,26,11,"2,860.90","31,469.90","1,487.67",,
SO - 0001943,1/2/2015,74,Wholesale,USD,AXW291,16,25,9,978.20,"8,803.80",626.05,,
SO - 0001944,1/2/2015,92,Distributor,USD,NXH382,49,14,8,"3,718.50","29,748.00","1,970.81",,
SO - 0001945,1/2/2015,156,Export,USD,NXH382,50,25,12,"5,480.60","65,767.20","3,014.33",,
SO - 0001946,1/2/2015,86,Distributor,USD,AXW291,11,13,7,797.30,"5,581.10",518.25,,
SO - 0001947,1/2/2015,93,Distributor,USD,NXH382,47,26,12,247.90,"2,974.80",123.95,,
SO - 0001948,1/2/2015,10,Wholesale,USD,AXW291,10,28,6,"1,165.80","6,994.80",897.67,,
SO - 0001949,1/2/2015,172,Distributor,USD,AXW291,18,6,11,"6,425.30","70,678.30","3,212.65",,
SO - 0001950,1/2/2015,62,Distributor,USD,GUT930,32,20,5,"1,293.10","6,465.50",956.89,,
SO - 0001951,1/2/2015,131,Wholesale,USD,AXW291,21,14,10,"6,197.50","61,975.00","3,594.55",,
SO - 0001952,1/3/2015,43,Wholesale,USD,NXH382,59,1,6,"5,869.20","35,215.20","3,462.83",,
SO - 0001953,1/3/2015,30,Distributor,USD,GUT930,45,27,11,"1,098.80","12,086.80",593.35,,
SO - 0001954,1/3/2015,148,Wholesale,USD,GUT930,44,1,6,"1,072.00","6,432.00",889.76,,
SO - 0001955,1/3/2015,70,Wholesale,USD,NXH382,57,4,8,"6,532.50","52,260.00","3,984.83",,
SO - 0001956,1/3/2015,30,Wholesale,USD,AXW291,22,21,5,"3,946.30","19,731.50","2,367.78",,
SO - 0001957,1/3/2015,170,Wholesale,USD,AXW291,23,21,9,"1,031.80","9,286.20",835.76,,
SO - 0001958,1/3/2015,165,Distributor,USD,NXH382,57,23,5,"5,172.40","25,862.00","3,258.61",,
SO - 0001959,1/3/2015,149,Export,USD,NXH382,55,15,8,"2,512.50","20,100.00","1,306.50",,
SO - 0001960,1/3/2015,145,Export,USD,NXH382,55,19,11,"2,639.80","29,037.80","2,032.65",,
SO - 0001961,1/4/2015,41,Export,USD,NXH382,56,10,12,"1,051.90","12,622.80",662.70,,
SO - 0001962,1/4/2015,116,Wholesale,USD,NXH382,47,25,9,"1,051.90","9,467.10",757.37,,
SO - 0001963,1/4/2015,66,Wholesale,USD,GUT930,34,18,7,"2,003.30","14,023.10","1,482.44",,
SO - 0001964,1/4/2015,75,Wholesale,USD,AXW291,26,14,7,837.50,"5,862.50",502.50,,
SO - 0001965,1/4/2015,28,Wholesale,USD,GUT930,43,23,7,"5,815.60","40,709.20","4,303.54",,
SO - 0001966,1/4/2015,174,Wholesale,USD,AXW291,7,3,10,"1,172.50","11,725.00",973.18,,
SO - 0001967,1/4/2015,59,Distributor,USD,AXW291,16,14,9,"1,118.90","10,070.10",716.10,,
SO - 0001968,1/4/2015,169,Wholesale,USD,NXH382,51,13,9,"3,845.80","34,612.20","3,230.47",,
SO - 0001969,1/4/2015,95,Export,USD,AXW291,5,6,6,"2,586.20","15,517.20","1,034.48",,
SO - 0001970,1/4/2015,17,Wholesale,USD,AXW291,25,7,7,"5,165.70","36,159.90","2,066.28",,
SO - 0001971,1/4/2015,94,Distributor,USD,AXW291,3,4,10,"3,155.70","31,557.00","1,262.28",,
SO - 0001972,1/5/2015,14,Export,USD,NXH382,47,26,7,"2,304.80","16,133.60","1,613.36",,
SO - 0001973,1/5/2015,52,Wholesale,USD,GUT930,33,30,7,"3,839.10","26,873.70","2,802.54",,
SO - 0001974,1/5/2015,136,Wholesale,USD,NXH382,48,13,8,"1,005.00","8,040.00",723.60,,
SO - 0001975,1/5/2015,156,Wholesale,USD,AXW291,30,25,9,"2,525.90","22,733.10","1,768.13",,
SO - 0001976,1/5/2015,18,Wholesale,USD,AXW291,27,1,11,"1,922.90","21,151.90","1,365.26",,
SO - 0001977,1/5/2015,42,Distributor,USD,NXH382,53,25,5,"6,371.70","31,858.50","4,587.62",,
SO - 0001978,1/5/2015,30,Distributor,USD,NXH382,52,23,12,"3,986.50","47,838.00","2,670.96",,
SO - 0001979,1/5/2015,51,Distributor,USD,GUT930,39,2,12,"1,835.80","22,029.60","1,193.27",,
SO - 0001980,1/5/2015,70,Wholesale,USD,AXW291,25,17,8,871.00,"6,968.00",574.86,,
SO - 0001981,1/5/2015,14,Wholesale,USD,AXW291,6,1,11,"3,731.90","41,050.90","2,910.88",,
SO - 0001982,1/5/2015,123,Distributor,USD,GUT930,38,14,6,"1,976.50","11,859.00",968.49,,
SO - 0001983,1/5/2015,135,Wholesale,USD,AXW291,29,20,12,"3,537.60","42,451.20","3,006.96",,
SO - 0001984,1/5/2015,166,Export,USD,AXW291,24,20,12,"2,405.30","28,863.60","1,803.98",,
SO - 0001985,1/5/2015,122,Export,USD,GUT930,42,3,9,"3,075.30","27,677.70","2,490.99",,
SO - 0001986,1/5/2015,53,Export,USD,GUT930,40,2,10,221.10,"2,211.00",108.34,,
SO - 0001987,1/5/2015,154,Distributor,USD,GUT930,36,15,8,891.10,"7,128.80",632.68,,
SO - 0001988,1/5/2015,29,Wholesale,USD,GUT930,46,22,9,"1,226.10","11,034.90",944.10,,
SO - 0001989,1/6/2015,115,Wholesale,USD,AXW291,5,26,7,"5,721.80","40,052.60","4,176.91",,
SO - 0001990,1/6/2015,145,Distributor,USD,AXW291,21,20,6,"3,202.60","19,215.60","1,473.20",,
SO - 0001991,1/6/2015,58,Wholesale,USD,GUT930,45,12,5,"1,721.90","8,609.50","1,394.74",,
SO - 0001992,1/6/2015,173,Export,USD,NXH382,49,6,11,897.80,"9,875.80",493.79,,
SO - 0001993,1/6/2015,171,Export,USD,NXH382,55,6,5,"1,051.90","5,259.50",736.33,,
SO - 0001994,1/6/2015,141,Wholesale,USD,GUT930,43,26,7,904.50,"6,331.50",397.98,,
SO - 0001995,1/6/2015,153,Distributor,USD,AXW291,5,26,5,"2,673.30","13,366.50","1,202.99",,
SO - 0001996,1/6/2015,32,Wholesale,USD,GUT930,45,14,12,"1,065.30","12,783.60",745.71,,
SO - 0001997,1/6/2015,23,Distributor,USD,FLR025,61,15,11,"2,010.00","22,110.00",864.30,,
SO - 0001998,1/6/2015,61,Wholesale,USD,FLR025,64,18,10,850.90,"8,509.00",706.25,,
SO - 0001999,1/7/2015,83,Wholesale,USD,GUT930,43,17,8,"2,465.60","19,724.80","1,676.61",,
SO - 0002000,1/7/2015,168,Wholesale,USD,GUT930,36,25,5,"3,872.60","19,363.00","2,284.83",,
SO - 0002001,1/7/2015,59,Wholesale,USD,NXH382,51,8,5,254.60,"1,273.00",145.12,,
SO - 0002002,1/7/2015,67,Distributor,USD,AXW291,16,10,12,"3,182.50","38,190.00","2,004.98",,
SO - 0002003,1/7/2015,116,Wholesale,USD,GUT930,41,14,10,"1,112.20","11,122.00",745.17,,
SO - 0002004,1/7/2015,134,Wholesale,USD,GUT930,33,15,8,917.90,"7,343.20",596.64,,
SO - 0002005,1/7/2015,9,Wholesale,USD,GUT930,34,11,10,"1,922.90","19,229.00",846.08,,
SO - 0002006,1/8/2015,16,Wholesale,USD,AXW291,24,15,11,"1,996.60","21,962.60","1,078.16",,
SO - 0002007,1/8/2015,36,Distributor,USD,AXW291,23,8,8,"3,966.40","31,731.20","2,379.84",,
SO - 0002008,1/8/2015,66,Distributor,USD,AXW291,20,5,9,783.90,"7,055.10",470.34,,
SO - 0002009,1/8/2015,132,Wholesale,USD,AXW291,30,2,5,830.80,"4,154.00",440.32,,
SO - 0002010,1/8/2015,109,Distributor,USD,NXH382,56,11,11,"1,045.20","11,497.20",543.50,,
SO - 0002011,1/8/2015,170,Wholesale,USD,AXW291,25,25,9,"1,025.10","9,225.90",512.55,,
SO - 0002012,1/8/2015,42,Distributor,USD,AXW291,7,18,11,"5,319.80","58,517.80","3,298.28",,
SO - 0002013,1/8/2015,164,Export,USD,GUT930,44,25,6,897.80,"5,386.80",430.94,,
SO - 0002014,1/8/2015,7,Wholesale,USD,GUT930,44,20,12,"1,969.80","23,637.60","1,477.35",,
SO - 0002015,1/8/2015,17,Wholesale,USD,NXH382,52,26,7,"1,112.20","7,785.40",678.44,,
SO - 0002016,1/8/2015,3,Wholesale,USD,AXW291,30,19,8,"1,045.20","8,361.60",752.54,,
SO - 0002017,1/9/2015,69,Wholesale,USD,AXW291,4,19,9,"1,031.80","9,286.20",412.72,,
SO - 0002018,1/9/2015,90,Wholesale,USD,AXW291,30,6,7,"2,365.10","16,555.70","1,087.95",,
SO - 0002019,1/9/2015,61,Distributor,USD,NXH382,53,15,12,234.50,"2,814.00",105.53,,
SO - 0002020,1/9/2015,79,Wholesale,USD,GUT930,38,26,11,"2,572.80","28,300.80","1,852.42",,
SO - 0002021,1/9/2015,129,Distributor,USD,GUT930,34,18,10,174.20,"1,742.00",87.10,,
SO - 0002022,1/9/2015,140,Export,USD,NXH382,56,3,6,"1,105.50","6,633.00",464.31,,
SO - 0002023,1/9/2015,140,Distributor,USD,GUT930,35,26,8,"3,832.40","30,659.20","3,180.89",,
SO - 0002024,1/9/2015,74,Wholesale,USD,NXH382,58,1,12,"3,939.60","47,275.20","3,230.47",,
SO - 0002025,1/9/2015,24,Distributor,USD,AXW291,25,25,6,"1,085.40","6,512.40",868.32,,
SO - 0002026,1/9/2015,162,Export,USD,AXW291,11,13,9,"2,619.70","23,577.30","1,571.82",,
SO - 0002027,1/9/2015,119,Distributor,USD,AXW291,8,3,8,"3,383.50","27,068.00","2,672.97",,
SO - 0002028,1/9/2015,47,Wholesale,USD,NXH382,48,23,11,817.40,"8,991.40",335.13,,
SO - 0002029,1/9/2015,65,Wholesale,USD,AXW291,9,21,5,"1,078.70","5,393.50",550.14,,
SO - 0002030,1/10/2015,24,Distributor,USD,AXW291,16,30,11,"6,204.20","68,246.20","4,280.90",,
SO - 0002031,1/10/2015,96,Wholesale,USD,AXW291,6,13,11,"5,299.70","58,296.70","4,186.76",,
SO - 0002032,1/10/2015,69,Distributor,USD,AXW291,29,16,7,201.00,"1,407.00",142.71,,
SO - 0002033,1/10/2015,11,Wholesale,USD,AXW291,24,14,10,"3,396.90","33,969.00","2,377.83",,
SO - 0002034,1/10/2015,21,Wholesale,USD,GUT930,42,7,8,"1,065.30","8,522.40",681.79,,
SO - 0002035,1/10/2015,117,Distributor,USD,NXH382,56,10,11,"3,973.10","43,704.10","3,257.94",,
SO - 0002036,1/10/2015,11,Wholesale,USD,GUT930,38,24,9,"1,983.20","17,848.80","1,170.09",,
SO - 0002037,1/10/2015,37,Wholesale,USD,FLR025,64,6,5,"1,929.60","9,648.00","1,466.50",,
SO - 0002038,1/10/2015,78,Distributor,USD,FLR025,65,2,6,891.10,"5,346.60",481.19,,
SO - 0002039,1/11/2015,114,Wholesale,USD,GUT930,37,18,12,"3,999.90","47,998.80","2,239.94",,
SO - 0002040,1/11/2015,89,Distributor,USD,AXW291,30,4,6,"1,809.00","10,854.00","1,519.56",,
SO - 0002041,1/11/2015,167,Distributor,USD,GUT930,40,6,11,"3,430.40","37,734.40","2,744.32",,
SO - 0002042,1/11/2015,46,Distributor,USD,GUT930,42,15,8,"2,519.20","20,153.60","1,259.60",,
SO - 0002043,1/11/2015,61,Wholesale,USD,AXW291,15,1,12,"1,011.70","12,140.40",536.20,,
SO - 0002044,1/11/2015,41,Wholesale,USD,NXH382,57,25,7,214.40,"1,500.80",135.07,,
SO - 0002045,1/11/2015,101,Wholesale,USD,AXW291,25,14,8,"2,324.90","18,599.20","1,464.69",,
SO - 0002046,1/11/2015,46,Distributor,USD,GUT930,36,5,8,"2,552.70","20,421.60","1,761.36",,
SO - 0002047,1/11/2015,174,Wholesale,USD,AXW291,1,10,9,"1,775.50","15,979.50",994.28,,
SO - 0002048,1/11/2015,106,Distributor,USD,AXW291,10,2,12,"3,906.10","46,873.20","2,695.21",,
SO - 0002049,1/11/2015,138,Wholesale,USD,NXH382,54,2,10,"2,860.90","28,609.00","1,687.93",,
SO - 0002050,1/11/2015,155,Distributor,USD,AXW291,31,2,12,931.30,"11,175.60",540.15,,
SO - 0002051,1/11/2015,103,Wholesale,USD,NXH382,53,26,5,"1,072.00","5,360.00",846.88,,
SO - 0002052,1/11/2015,119,Export,USD,GUT930,32,1,8,241.20,"1,929.60",101.30,,
SO - 0002053,1/12/2015,41,Wholesale,USD,AXW291,6,29,10,"3,691.70","36,917.00","2,584.19",,
SO - 0002054,1/12/2015,134,Wholesale,USD,AXW291,16,1,6,857.60,"5,145.60",497.41,,
SO - 0002055,1/12/2015,95,Wholesale,USD,AXW291,2,11,5,"1,185.90","5,929.50",960.58,,
SO - 0002056,1/12/2015,50,Distributor,USD,AXW291,18,5,9,"5,701.70","51,315.30","4,789.43",,
SO - 0002057,1/12/2015,45,Distributor,USD,AXW291,25,15,12,"3,919.50","47,034.00","1,567.80",,
SO - 0002058,1/12/2015,76,Wholesale,USD,GUT930,36,19,5,"1,051.90","5,259.50",620.62,,
SO - 0002059,1/12/2015,101,Wholesale,USD,NXH382,55,3,9,"1,018.40","9,165.60",407.36,,
SO - 0002060,1/12/2015,59,Wholesale,USD,AXW291,5,26,11,"1,212.70","13,339.70",715.49,,
SO - 0002061,1/12/2015,161,Wholesale,USD,GUT930,47,13,6,"3,075.30","18,451.80","1,998.95",,
SO - 0002062,1/12/2015,48,Distributor,USD,GUT930,46,4,7,"5,587.80","39,114.60","2,682.14",,
SO - 0002063,1/12/2015,147,Distributor,USD,AXW291,16,2,7,"1,125.60","7,879.20",855.46,,
SO - 0002064,1/13/2015,74,Wholesale,USD,GUT930,31,26,12,"6,083.60","73,003.20","2,737.62",,
SO - 0002065,1/13/2015,45,Export,USD,NXH382,52,6,11,964.80,"10,612.80",665.71,,
SO - 0002066,1/13/2015,127,Distributor,USD,NXH382,56,15,11,187.60,"2,063.60",133.20,,
SO - 0002067,1/13/2015,58,Wholesale,USD,NXH382,59,15,12,703.50,"8,442.00",295.47,,
SO - 0002068,1/13/2015,111,Wholesale,USD,AXW291,30,4,10,"3,832.40","38,324.00","1,877.88",,
SO - 0002069,1/13/2015,141,Export,USD,AXW291,17,25,11,"5,661.50","62,276.50","2,321.22",,
SO - 0002070,1/13/2015,130,Distributor,USD,AXW291,23,30,9,207.70,"1,869.30",159.93,,
SO - 0002071,1/13/2015,90,Wholesale,USD,NXH382,51,2,7,"3,892.70","27,248.90","3,308.80",,
SO - 0002072,1/13/2015,113,Wholesale,USD,NXH382,57,2,12,"2,519.20","30,230.40","1,713.06",,
SO - 0002073,1/13/2015,65,Wholesale,USD,AXW291,12,25,7,"2,921.20","20,448.40","1,460.60",,
SO - 0002074,1/14/2015,85,Wholesale,USD,AXW291,28,25,10,"5,594.50","55,945.00","2,517.53",,
SO - 0002075,1/14/2015,36,Distributor,USD,AXW291,21,11,5,991.60,"4,958.00",743.70,,
SO - 0002076,1/14/2015,6,Wholesale,USD,AXW291,12,19,12,891.10,"10,693.20",570.30,,
SO - 0002077,1/14/2015,6,Distributor,USD,GUT930,43,4,11,"5,427.00","59,697.00","2,442.15",,
SO - 0002078,1/14/2015,50,Wholesale,USD,AXW291,1,29,5,"3,999.90","19,999.50","3,279.92",,
SO - 0002079,1/15/2015,132,Wholesale,USD,NXH382,50,11,5,"1,065.30","5,326.50",522.00,,
SO - 0002080,1/15/2015,151,Wholesale,USD,GUT930,35,2,12,174.20,"2,090.40",142.84,,
SO - 0002081,1/15/2015,71,Wholesale,USD,NXH382,57,26,10,"3,819.00","38,190.00","3,131.58",,
SO - 0002082,1/15/2015,144,Wholesale,USD,FLR025,61,26,6,"1,058.60","6,351.60",730.43,,
SO - 0002083,1/15/2015,66,Wholesale,USD,GUT930,45,18,11,"3,242.80","35,670.80","2,594.24",,
SO - 0002084,1/16/2015,89,Distributor,USD,FLR025,63,20,8,"6,445.40","51,563.20","4,705.14",,
SO - 0002085,1/16/2015,32,Wholesale,USD,AXW291,13,28,11,"1,085.40","11,939.40",586.12,,
SO - 0002086,1/16/2015,110,Export,USD,AXW291,18,6,7,"3,571.10","24,997.70","1,999.82",,
SO - 0002087,1/16/2015,147,Wholesale,USD,NXH382,57,2,8,"2,398.60","19,188.80","1,319.23",,
SO - 0002088,1/16/2015,129,Wholesale,USD,FLR025,64,26,6,"1,299.80","7,798.80","1,026.84",,
SO - 0002089,1/16/2015,151,Distributor,USD,NXH382,49,25,6,877.70,"5,266.20",658.28,,
SO - 0002090,1/16/2015,128,Wholesale,USD,AXW291,5,5,8,"1,018.40","8,147.20",712.88,,
SO - 0002091,1/16/2015,60,Export,USD,AXW291,23,22,8,"3,584.50","28,676.00","2,365.77",,
SO - 0002092,1/16/2015,7,Distributor,USD,AXW291,16,20,10,991.60,"9,916.00",743.70,,
SO - 0002093,1/16/2015,139,Export,USD,AXW291,3,18,9,"6,391.80","57,526.20","3,323.74",,
SO - 0002094,1/17/2015,115,Wholesale,USD,AXW291,7,1,8,871.00,"6,968.00",644.54,,
SO - 0002095,1/17/2015,111,Distributor,USD,NXH382,50,28,6,"1,112.20","6,673.20",923.13,,
SO - 0002096,1/17/2015,35,Export,USD,GUT930,45,26,5,"1,835.80","9,179.00",844.47,,
SO - 0002097,1/17/2015,77,Distributor,USD,FLR025,61,6,6,201.00,"1,206.00",90.45,,
SO - 0002098,1/17/2015,105,Distributor,USD,AXW291,9,15,8,"5,038.40","40,307.20","3,526.88",,
SO - 0002099,1/18/2015,77,Export,USD,FLR025,61,26,7,"1,098.80","7,691.60",933.98,,
SO - 0002100,1/18/2015,24,Wholesale,USD,GUT930,45,14,10,"2,271.30","22,713.00","1,703.48",,
SO - 0002101,1/18/2015,151,Wholesale,USD,NXH382,52,30,7,"1,313.20","9,192.40",617.20,,
SO - 0002102,1/18/2015,157,Distributor,USD,AXW291,17,5,6,971.50,"5,829.00",388.60,,
SO - 0002103,1/18/2015,12,Wholesale,USD,GUT930,42,26,7,"1,829.10","12,803.70","1,444.99",,
SO - 0002104,1/18/2015,167,Wholesale,USD,GUT930,39,3,8,"1,735.30","13,882.40","1,370.89",,
SO - 0002105,1/18/2015,95,Wholesale,USD,AXW291,5,12,5,"3,932.90","19,664.50","1,769.81",,
SO - 0002106,1/18/2015,125,Wholesale,USD,GUT930,33,14,12,"2,653.20","31,838.40","1,804.18",,
SO - 0002107,1/18/2015,57,Distributor,USD,NXH382,53,18,12,"1,882.70","22,592.40","1,355.54",,
SO - 0002108,1/18/2015,54,Wholesale,USD,GUT930,39,26,8,"3,932.90","31,463.20","2,359.74",,
SO - 0002109,1/18/2015,59,Wholesale,USD,NXH382,59,26,9,"3,912.80","35,215.20","2,034.66",,
SO - 0002110,1/19/2015,1,Wholesale,USD,NXH382,54,26,11,978.20,"10,760.20",743.43,,
SO - 0002111,1/19/2015,114,Wholesale,USD,GUT930,46,4,7,"1,842.50","12,897.50","1,197.63",,
SO - 0002112,1/19/2015,167,Wholesale,USD,GUT930,39,26,10,254.60,"2,546.00",104.39,,
SO - 0002113,1/19/2015,138,Wholesale,USD,AXW291,4,20,8,"1,065.30","8,522.40",575.26,,
SO - 0002114,1/19/2015,129,Distributor,USD,AXW291,8,2,9,"3,510.80","31,597.20","2,211.80",,
SO - 0002115,1/19/2015,86,Wholesale,USD,GUT930,41,9,6,"5,701.70","34,210.20","2,907.87",,
SO - 0002116,1/19/2015,104,Wholesale,USD,GUT930,36,15,11,"3,390.20","37,292.20","2,373.14",,
SO - 0002117,1/20/2015,107,Distributor,USD,AXW291,16,18,6,"2,298.10","13,788.60","1,401.84",,
SO - 0002118,1/20/2015,51,Wholesale,USD,NXH382,49,21,10,"3,959.70","39,597.00","1,663.07",,
SO - 0002119,1/20/2015,170,Wholesale,USD,GUT930,44,8,5,"2,318.20","11,591.00","1,715.47",,
SO - 0002120,1/20/2015,164,Wholesale,USD,FLR025,66,9,5,201.00,"1,005.00",82.41,,
SO - 0002121,1/20/2015,84,Wholesale,USD,AXW291,26,13,10,"2,827.40","28,274.00","2,403.29",,
SO - 0002122,1/20/2015,41,Wholesale,USD,AXW291,2,12,6,884.40,"5,306.40",689.83,,
SO - 0002123,1/20/2015,133,Wholesale,USD,NXH382,54,19,5,"3,966.40","19,832.00","2,697.15",,
SO - 0002124,1/21/2015,7,Wholesale,USD,NXH382,52,19,10,"3,899.40","38,994.00","3,314.49",,
SO - 0002125,1/21/2015,7,Wholesale,USD,GUT930,36,13,8,770.50,"6,164.00",547.06,,
SO - 0002126,1/21/2015,35,Distributor,USD,AXW291,17,14,7,"1,038.50","7,269.50",633.49,,
SO - 0002127,1/21/2015,36,Export,USD,AXW291,19,10,6,837.50,"5,025.00",661.63,,
SO - 0002128,1/21/2015,156,Export,USD,AXW291,7,25,8,"6,545.90","52,367.20","3,076.57",,
SO - 0002129,1/21/2015,25,Wholesale,USD,GUT930,45,26,10,254.60,"2,546.00",198.59,,
SO - 0002130,1/21/2015,27,Export,USD,NXH382,53,16,6,174.20,"1,045.20",78.39,,
SO - 0002131,1/21/2015,134,Distributor,USD,AXW291,4,3,11,"1,025.10","11,276.10",768.83,,
SO - 0002132,1/21/2015,38,Wholesale,USD,NXH382,50,6,7,"1,775.50","12,428.50",727.96,,
SO - 0002133,1/21/2015,74,Distributor,USD,FLR025,63,26,10,"3,390.20","33,902.00","2,000.22",,
SO - 0002134,1/21/2015,141,Wholesale,USD,AXW291,31,19,7,234.50,"1,641.50",93.80,,
SO - 0002135,1/21/2015,105,Wholesale,USD,NXH382,53,12,7,"2,385.20","16,696.40","1,454.97",,
SO - 0002136,1/21/2015,102,Export,USD,GUT930,44,13,12,"1,038.50","12,462.00",446.56,,
SO - 0002137,1/21/2015,174,Distributor,USD,AXW291,13,12,12,"2,492.40","29,908.80","1,395.74",,
SO - 0002138,1/21/2015,59,Distributor,USD,AXW291,10,28,6,"1,045.20","6,271.20",595.76,,
SO - 0002139,1/21/2015,85,Export,USD,NXH382,54,18,10,"6,177.40","61,774.00","2,779.83",,
SO - 0002140,1/21/2015,123,Wholesale,USD,GUT930,42,8,12,"2,639.80","31,677.60","1,214.31",,
SO - 0002141,1/21/2015,92,Wholesale,USD,GUT930,34,22,12,"2,532.60","30,391.20","1,316.95",,
SO - 0002142,1/21/2015,60,Wholesale,USD,NXH382,51,26,11,"1,165.80","12,823.80",687.82,,
SO - 0002143,1/22/2015,169,Distributor,USD,GUT930,31,3,12,"3,959.70","47,516.40","3,207.36",,
SO - 0002144,1/22/2015,6,Distributor,USD,AXW291,25,17,11,"1,125.60","12,381.60",619.08,,
SO - 0002145,1/22/2015,80,Wholesale,USD,AXW291,23,26,9,"2,331.60","20,984.40","1,282.38",,
SO - 0002146,1/22/2015,5,Wholesale,USD,AXW291,22,3,11,"1,896.10","20,857.10","1,346.23",,
SO - 0002147,1/22/2015,127,Wholesale,USD,NXH382,51,25,7,"3,953.00","27,671.00","3,320.52",,
SO - 0002148,1/22/2015,103,Distributor,USD,NXH382,50,5,7,857.60,"6,003.20",634.62,,
SO - 0002149,1/23/2015,97,Wholesale,USD,GUT930,42,30,6,"5,641.40","33,848.40","3,272.01",,
SO - 0002150,1/23/2015,118,Wholesale,USD,AXW291,27,10,10,"2,217.70","22,177.00","1,552.39",,
SO - 0002151,1/23/2015,39,Wholesale,USD,AXW291,7,11,9,"1,855.90","16,703.10","1,317.69",,
SO - 0002152,1/23/2015,6,Wholesale,USD,AXW291,24,15,10,"1,976.50","19,765.00","1,581.20",,
SO - 0002153,1/23/2015,114,Wholesale,USD,AXW291,14,22,6,"1,065.30","6,391.80",628.53,,
SO - 0002154,1/24/2015,59,Distributor,USD,GUT930,46,16,6,"3,872.60","23,235.60","2,594.64",,
SO - 0002155,1/24/2015,106,Distributor,USD,AXW291,27,20,9,"3,886.00","34,974.00","1,826.42",,
SO - 0002156,1/24/2015,174,Wholesale,USD,AXW291,14,15,7,268.00,"1,876.00",222.44,,
SO - 0002157,1/24/2015,118,Wholesale,USD,GUT930,41,24,5,214.40,"1,072.00",92.19,,
SO - 0002158,1/24/2015,141,Wholesale,USD,FLR025,63,14,5,676.70,"3,383.50",433.09,,
SO - 0002159,1/24/2015,147,Distributor,USD,GUT930,32,13,11,"1,005.00","11,055.00",412.05,,
SO - 0002160,1/24/2015,113,Distributor,USD,NXH382,50,18,5,"1,065.30","5,326.50",703.10,,
SO - 0002161,1/24/2015,159,Wholesale,USD,FLR025,64,26,12,167.50,"2,010.00",113.90,,
SO - 0002162,1/24/2015,137,Wholesale,USD,AXW291,9,4,9,"1,179.20","10,612.80",837.23,,
SO - 0002163,1/24/2015,17,Wholesale,USD,GUT930,33,2,8,"5,808.90","46,471.20","3,485.34",,
SO - 0002164,1/25/2015,95,Wholesale,USD,AXW291,16,6,11,"3,772.10","41,493.10","3,093.12",,
